feature_id,module,priority,release_scope,target_summary,current_status,current_evidence,test_evidence,current_gap,decision_refs,delivery_ref_ids,notes
"FR-ING-06","Ingestion","Must","MVP-Must","Server phân loại Current, Historical Backfill, Late Arrival hoặc Correction từ business time và closure state.","Missing","apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReportStaging.java","No time-classification acceptance test found","Current model có reportDate nhưng không có received/source time, dataTimeClass, businessDataCode hoặc versioned classification policy.","TBD-05;TBD-12;TBD-16","FP-SLICE-008","Client không được tự gán lớp dữ liệu rồi được tin."
"FR-VAL-01","Validation and Staging","Must","MVP-Must","Dữ liệu hợp lệ ở staging có nhãn chưa chính thức và không vào official dashboard.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReportStaging.java;apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReport.java;apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportStagingServiceImpl.java","No staging-isolation E2E test found","Staging và official tách bảng, approval mới copy official; state model và provenance chưa khớp PRD/TDD.","","FP-SLICE-004","Đây là nền móng thật nhưng chưa đủ để ghi Implemented."
"FR-VAL-02","Validation and Staging","Must","MVP-Must","Validation finding phân Error, Warning, Information; Warning override có quyền và lý do.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportStagingServiceImpl.java","No severity acceptance test found","Chỉ có hard validation ném lỗi; không có validation finding, severity configuration hoặc warning override.","TBD-11","FP-SLICE-005","Ngưỡng và severity ban đầu chưa được duyệt."
"FR-VAL-03","Validation and Staging","Must","MVP-Must","Phát hiện dữ liệu trùng hoặc xung đột và không tự ghi đè.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/service/StagingReportExcelService.java;apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReportStaging.java","No conflict acceptance test found","Duplicate thường bị reject hoặc DRAFT bị import ghi đè; không có conflict group/candidate.","TBD-07;TBD-09","FP-SLICE-009","Cần identity và merge policy trước khi implementation."
"FR-VAL-04","Validation and Staging","Must","MVP-Must","Màn hình review so sánh từng field, nguồn, người nhập, thời điểm, current và candidate.","Missing","","No conflict-review acceptance test found","Không có conflict entity, resolve API hoặc UI candidate comparison.","TBD-07","FP-SLICE-009","Resolver role cũng cần được map thành permission cụ thể."
"FR-VAL-05","Validation and Staging","Must","MVP-Must","Cảnh báo ứng viên gần trùng 90% đến dưới 100% có score/explanation/version; không auto merge.","Missing","","No similarity acceptance test found","Không có candidate scorer/policy/model version, boundary test hoặc review evidence.","ADR-13","FP-SLICE-009","Exact identity/different value luôn conflict dù score cao."
"FR-VAL-06","Validation and Staging","Must","MVP-Must","Đối soát Excel–web và tùy chọn OCR với Matched/Mismatch/Missing/Low Confidence, resolution và audit.","Missing","apps/backend/src/main/java/com/factory/management/modules/production/service/StagingReportExcelService.java","No reconciliation acceptance test found","Import Excel hiện không lưu source batch và không so sánh có trạng thái với web/OCR; không có reconciliation run/item.","TBD-07;TBD-08;TBD-22","FP-SLICE-008;FP-SLICE-009","OCR chưa bật không chặn cặp Excel–web."
"FR-CLO-01","Closing and Correction","Must","MVP-Must","Quản lý chốt theo production date và scope; Error hoặc thiếu coverage chặn chốt.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/entity/DailyCloseBatch.java;apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportStagingServiceImpl.java","No closure acceptance test found","Approval từng staging tạo official; DailyCloseBatch chưa có controller/workflow dùng được và không kiểm coverage/findings.","TBD-04;ADR-10","FP-SLICE-006","Cần chốt coverage và closure grain."
"FR-CLO-02","Closing and Correction","Must","MVP-Must","Chốt một phần; dashboard cấp cha hiện Partial, coverage và scope thiếu.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/entity/DailyCloseBatchStatus.java;apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportServiceImpl.java","No partial-close acceptance test found","Không có partially_closed state dùng được, hierarchical lock, coverage snapshot hoặc parent partial UI.","TBD-04;ADR-10","FP-SLICE-010","Partial là trạng thái kỳ hiện tại; nếu giữ KPI cũ thì phải gắn stale theo PRD mục 8.1."
"FR-CLO-03","Closing and Correction","Must","MVP-Must","Không sửa official trực tiếp; reopen một cấp, correction workspace, reclose và giữ bản cũ.","Missing","apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReport.java","No correction acceptance test found","ProductionReport không versioned; không có reopen request, correction workspace hoặc reclose.","TBD-10;TBD-12;ADR-09","FP-SLICE-011","Một cấp phê duyệt đã được quyết định; late-data policy vẫn bị chặn bởi TBD-12."
"FR-CLO-04","Closing and Correction","Must","MVP-Must","Reclose cập nhật KPI/report, giữ lịch sử và gắn adjusted.","Missing","","No recalculation acceptance test found","Không có official version, snapshot stale, ancestor recalculation hoặc adjusted report state.","ADR-11","FP-SLICE-011","TDD yêu cầu stale và tính lại mọi ancestor bottom-up."
"FR-CLO-05","Closing and Correction","Should","Stretch","Đóng kỳ ngoại lệ với reason, coverage và nhãn không complete.","Out of scope","","Not required for MVP-Must release","Capability đóng kỳ ngoại lệ chưa thuộc release Must; fallback target là giữ pending_review.","","FP-SLICE-102","Không coi absence là lỗi Must."
"FR-KPI-01","KPI","Must","MVP-Must","KPI Dictionary được duyệt trước dashboard official.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportServiceImpl.java","No approved-formula acceptance test found","OEE được hardcode trong service; không có KPI definition/version, approval hoặc ví dụ tính tay lưu vết.","TBD-01","FP-SLICE-007","Chỉ implement KPI sau FP-GATE-003."
"FR-KPI-02","KPI","Must","MVP-Must","Không có KPI hoặc bảng xếp hạng cá nhân trong MVP Factory Performance.","Partial","apps/backend/src/main/java/com/factory/management/modules/hr/entity/EmployeeKpi.java;apps/frontend/src/shared/navigation/roleNavigation.ts","No privacy acceptance test found","Code hiện tại có EmployeeKpi và navigation KPI cá nhân thuộc HR, trái target nếu lộ trong workspace/release Factory Performance.","TBD-15","FP-SLICE-001;FP-SLICE-007","Giữ domain legacy tách biệt hoặc ẩn khỏi release; không đưa vào dashboard target."
"FR-KPI-03","KPI","Must","MVP-Must","Quy tắc aggregation tháng/kỳ được định nghĩa và versioned.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportServiceImpl.java","No aggregation acceptance test found","Dashboard tính average trực tiếp trong memory; không có approved aggregation/weighting rule hoặc snapshot grain.","TBD-01","FP-SLICE-007;FP-SLICE-012","Cần ví dụ tính tay cho daily và monthly grain."
"FR-KPI-04","KPI","Should","Stretch","Ngưỡng xanh vàng đỏ cấu hình theo company, KPI và loại máy.","Out of scope","apps/backend/src/main/java/com/factory/management/modules/dashboard/service/ExecutiveDashboardService.java","Not required for MVP-Must release","Current executive dashboard dùng hằng số threshold; chưa có versioned KPI thresholds.","","FP-SLICE-103","Chỉ bắt đầu sau Must."
"FR-KPI-05","KPI","Must","MVP-Must","Chỉ dùng formula types được code sẵn hoặc cấu hình kiểm soát; không formula editor tự do.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportServiceImpl.java","No KPI-engine acceptance test found","Không có formula editor nguy hiểm nhưng công thức đang hardcode trực tiếp và chưa versioned trong KPI engine.","TBD-01","FP-SLICE-007","Không dùng eval hoặc code người dùng nhập."
"FR-DASH-01","Dashboard","Must","MVP-Must","Dashboard chỉ trả dữ liệu trong quyền kể cả khi sửa URL hoặc API parameters.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/controller/ProductionReportController.java;apps/backend/src/main/java/com/factory/management/common/security/AuthorizationScope.java;apps/frontend/src/features/dashboard/pages/RoleOverviewPage.tsx;apps/frontend/src/shared/utils/format.ts","No dashboard permission acceptance test found","Có my-scope và record guards nhưng còn aggregate/list chỉ giới hạn role hoặc lọc in-memory; RoleOverview bỏ qua summary error sau loading và formatter đổi missing thành 0, khiến lỗi hoặc dữ liệu chưa có trông như số liệu hợp lệ; thiếu company context và negative tests.","","FP-SLICE-001;FP-SLICE-007","Master/staging scope gaps và error-to-zero UI cho thấy chưa thể ghi Implemented."
"FR-DASH-02","Dashboard","Must","MVP-Must","Filter factory, line, group, machine, shift, product, downtime reason và date range trên official data.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/controller/ProductionReportController.java;apps/frontend/src/features/dashboard/components/TeamLeaderDashboard.tsx","No full-filter acceptance test found","Search chỉ có date, factory, team, machine; thiếu line, shift, product, downtime reason, snapshot version và production-day semantics.","TBD-05","FP-SLICE-012","Product chưa gắn report nên filter product chưa khả dụng."
"FR-DASH-03","Dashboard","Must","MVP-Must","So sánh kỳ hiện tại với kỳ liền trước cùng scope và filter khi đủ dữ liệu.","Missing","apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportServiceImpl.java","No period-comparison acceptance test found","Không có same-filter prior-period comparison hoặc completeness gate.","TBD-01","FP-SLICE-012","Cần định nghĩa đủ dữ liệu và KPI version compatibility."
"FR-DASH-04","Dashboard","Must","MVP-Must","Drill-down factory đến source data và audit summary theo quyền.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/controller/ProductionReportController.java;apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportDetailServiceImpl.java;apps/frontend/src/features/production-reports/pages/ReportsPage.tsx;apps/frontend/src/features/dashboard/api/dashboardApi.ts","No end-to-end drill-down acceptance test found","Có report-detail service, nhưng ReportsPage gọi /production-reports/search/my-scope trong khi backend chỉ expose /production-reports/search nên danh sách nguồn của drill-down không tải được; đồng thời thiếu snapshot contributor, source metadata, audit summary và full hierarchy.","","FP-SLICE-007","Phải sửa route contract trước khi dùng report detail làm bằng chứng drill-down end-to-end."
"FR-DASH-05","Dashboard","Must","MVP-Must","Highlight máy/tổ dưới ngưỡng và top nguyên nhân mất hiệu suất.","Partial","apps/backend/src/main/java/com/factory/management/modules/dashboard/service/ExecutiveDashboardService.java;apps/frontend/src/features/dashboard/components/TeamLeaderDashboard.tsx","No target-dashboard acceptance test found","Có risk cards và tổng hợp downtime ở UI nhưng threshold hardcode, có domain ngoài scope và chưa có scoped KPI snapshot/drill-down target.","TBD-01","FP-SLICE-007;FP-SLICE-012","Không dùng executive finance dashboard làm bằng chứng hoàn tất Factory Performance."
"FR-DASH-06","Dashboard","Should","Stretch","Giữ filter khi chuyển biểu đồ trong cùng phiên.","Out of scope","apps/frontend/src/features/dashboard/components/TeamLeaderDashboard.tsx","Not required for MVP-Must release","Có local filter trong một component nhưng chưa có contract giữ filter xuyên tab/biểu đồ target.","","FP-SLICE-104","Chỉ đánh giá ở release Stretch."
"FR-DASH-07","Dashboard","Should","Stretch","So sánh hai máy hoặc hai tổ trong cùng quyền.","Out of scope","","Not required for MVP-Must release","Không có target comparison UI/API.","","FP-SLICE-104","Chỉ đánh giá ở release Stretch."
"FR-DASH-08","Dashboard","Must","MVP-Must","Tối thiểu tám view cốt lõi dùng official filter/status contract và drill-down hoặc bảng fallback.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportServiceImpl.java;apps/frontend/src/features/dashboard/components/TeamLeaderDashboard.tsx","No chart-catalog acceptance test found","Có vài card/chart tổng hợp trực tiếp nhưng chưa có catalog tám view, snapshot, uniform empty/partial/stale state hoặc drill-down đầy đủ.","TBD-01","FP-SLICE-007;FP-SLICE-012","Không dùng nhiều chart lặp cùng số liệu hoặc ranking cá nhân."
"FR-DASH-09","Dashboard","Should","Stretch","Chart vật tư, kho và bảo trì chỉ hiện khi capability, dữ liệu và quyền sẵn sàng.","Out of scope","apps/backend/src/main/java/com/factory/management/modules/dashboard/service/ExecutiveDashboardService.java","Not required for MVP-Must release","Current executive dashboard trộn domain nhưng chưa có capability-aware chart contract.","","FP-SLICE-107","Không dùng chart extension để bù chart lõi còn thiếu."
"FR-NOTI-01","Notification","Should","Stretch","Nhắc gần hết ca khi thiếu dữ liệu bắt buộc.","Out of scope","apps/backend/src/main/java/com/factory/management/modules/hr/entity/Notification.java","Not required for MVP-Must release","Entity notification có nhưng không có production-calendar trigger hoặc dedup reminder.","TBD-17","FP-SLICE-105","In-app là đề xuất MVP khi capability được đưa vào release."
"FR-NOTI-02","Notification","Must","MVP-Must","Khi đến hạn chốt, nhắc quản lý và màn hình chốt nêu rõ tổ, máy, ca, lỗi hoặc import đang chặn.","Missing","apps/frontend/src/features/production-reports/pages/ApprovalPage.tsx","No close-blocker acceptance test found","Approval page xem staging nhưng không có scheduler/reminder theo hạn, expected coverage, missing taxonomy hoặc closure preflight.","TBD-04;TBD-11;TBD-17","FP-SLICE-005","Reminder đến hạn và blocker screen đều là Must; kênh gửi còn mở ở TBD-17, in-app chỉ là giả định tạm được đề xuất."
"FR-NOTI-03A","Notification","Must","MVP-Must","Người upload biết import thành công, partial hoặc failed.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/controller/StagingReportExcelController.java;apps/frontend/src/features/production-reports/components/StagingExcelImporter.tsx","No async-import notification acceptance test found","Response đồng bộ cho biết valid/error nhưng không có source-batch lifecycle, partial success hay notification sau worker.","TBD-08;TBD-17","FP-SLICE-008","Target dùng outbox/worker; cách trình bày kết quả theo kênh được chốt hoặc giả định tạm ghi cho TBD-17."
"FR-NOTI-03B","Notification","Guardrail","Conditional-OCR","Thông báo OCR xong hoặc failed khi OCR được bật.","Out of scope","","Not required while OCR capability is disabled","OCR capability không bật trong MVP.","","FP-CAP-OCR","Đánh giá lại cùng FP-CAP-OCR."
"FR-NOTI-04","Notification","Should","Stretch","Escalate dữ liệu quá hạn theo role/scope và delay cấu hình.","Out of scope","apps/backend/src/main/java/com/factory/management/modules/hr/entity/Notification.java","Not required for MVP-Must release","Không có scheduler, escalation policy hoặc recipient resolution cho Factory Performance.","TBD-17","FP-SLICE-105","Không đưa email, Zalo hoặc Teams vào scope nếu chưa có quyết định."
"FR-SEC-01","Security and Privacy","Must","MVP-Must","Mọi người dùng dùng tài khoản cá nhân và không truy cập khi chưa đăng nhập.","Unverified","apps/backend/src/main/java/com/factory/management/common/config/SecurityConfig.java;apps/backend/src/main/java/com/factory/management/modules/auth/service/AuthService.java;apps/frontend/src/features/auth/context/AuthContext.tsx","No authentication acceptance test found","JWT login/me/logout có code nhưng backend test không chạy độc lập khỏi PostgreSQL local và chưa có E2E chứng minh acceptance.","ADR-07","FP-SLICE-001","Application config còn fallback signer key và admin password, phải loại khỏi production."
"FR-SEC-02","Security and Privacy","Must","MVP-Must","Server kiểm tra quyền cho mọi read, write và export.","Partial","apps/backend/src/main/java/com/factory/management/common/config/SecurityConfig.java;apps/backend/src/main/java/com/factory/management/common/security/AuthorizationScope.java","No comprehensive permission test found","Nhiều controller có guard nhưng master GET chỉ authenticated và staging update không kiểm scope mới; chưa có export target.","","FP-SLICE-001","Ẩn nút UI không được dùng thay server authorization."
"FR-SEC-03","Security and Privacy","Must","MVP-Must","Không dùng Factory Performance cho lương, kỷ luật hoặc ranking cá nhân.","Partial","apps/backend/src/main/java/com/factory/management/modules/hr/entity/EmployeeKpi.java;apps/frontend/src/shared/navigation/roleNavigation.ts","No privacy boundary acceptance test found","Repository có HR EmployeeKpi và KPI cá nhân; phải tách khỏi workspace, API và release Factory Performance.","TBD-15","FP-SLICE-001;FP-SLICE-007","Không cần xóa domain legacy để đạt target nếu trust boundary và navigation tách rõ."
"FR-SEC-04","Security and Privacy","Guardrail","Conditional-Export","Export dữ liệu nhạy cảm phải kiểm cùng quyền đọc.","Out of scope","apps/backend/src/main/java/com/factory/management/modules/production/service/ReportExcelService.java","Not required while dashboard-export capability is disabled","Có service Excel nội bộ nhưng không có dashboard export capability target đã bật và kiểm chứng.","","FP-CAP-EXPORT","Đánh giá lại cùng FP-CAP-EXPORT."
"FR-SEC-05","Security and Privacy","Must","MVP-Must","Ba role vận hành + functional action/scope; employee position và navigation label không cấp quyền.","Missing","apps/backend/src/main/java/com/factory/management/modules/auth/entity/Role.java;apps/backend/src/main/java/com/factory/management/common/security/AuthorizationScope.java;apps/frontend/src/shared/navigation/roleNavigation.ts","No role-migration negative permission test found","Current có tám enum role và TEAM_LEADER security role; chưa có mapping ba cấp, functional roles đầy đủ hoặc tách position khỏi permission.","ADR-C03","FP-SLICE-001","Migration phải phát hiện role xung đột và không nâng quyền ngầm."
"FR-AUD-01","Audit","Must","MVP-Must","Audit manual/import/edit/close/reopen/reclose/warning/conflict với actor, before/after và reason.","Partial","apps/backend/src/main/java/com/factory/management/modules/audit/entity/AuditEvent.java;apps/backend/src/main/java/com/factory/management/modules/audit/service/AuditService.java","No audit-coverage acceptance test found","Append-only entity/service có; core create/update/submit/approve/close chưa phủ, details chưa chuẩn before/after/reason.","","FP-SLICE-006;FP-SLICE-009;FP-SLICE-011;FP-SLICE-013","Audit phải cùng transaction business mutation."
"FR-AUD-02","Audit","Must","MVP-Must","Audit master, standard, role/scope, login failure và account lock.","Partial","apps/backend/src/main/java/com/factory/management/modules/auth/service/UserManagementService.java;apps/backend/src/main/java/com/factory/management/modules/auth/service/UserDataScopeService.java;apps/backend/src/main/java/com/factory/management/modules/masterdata/service/ProductService.java","No audit-coverage acceptance test found","Role/scope và một số entity có audit; login failure, full master/standard và before/after chưa đủ.","","FP-SLICE-001;FP-SLICE-003;FP-SLICE-013","Domain ngoài scope có nhiều audit hơn core Factory Performance."
"FR-AUD-03","Audit","Must","MVP-Must","Chỉ người có quyền xem hoặc xuất audit theo scope.","Partial","apps/backend/src/main/java/com/factory/management/modules/audit/controller/AuditController.java","No auditor-scope acceptance test found","API audit chỉ ADMIN nên có bảo vệ nhưng chưa hỗ trợ auditor/manager theo scope và chưa có export target.","","FP-SLICE-013","Quyền quá hẹp không đồng nghĩa đạt ma trận PRD."
"FR-AUD-04","Audit","Should","Stretch","Retention audit cấu hình theo policy công ty.","Out of scope","","Not required for MVP-Must release","Không có audit retention configuration hoặc archival job.","TBD-13;TBD-21","FP-SLICE-106","Không xóa source file sớm hơn policy audit."
"FR-AUD-05","Audit","Guardrail","Conditional-OCR-Export","Audit OCR confirmation và export khi capability tương ứng bật.","Out of scope","","Not required while OCR and dashboard-export capabilities are disabled","Hai capability không bật trong MVP.","","FP-CAP-OCR;FP-CAP-EXPORT","Đánh giá lại cùng FP-CAP-OCR hoặc FP-CAP-EXPORT."
